ID	SENTIMENT
675826762543140864	1
675826724605730816	1
675826603977515008	1
675826598772248576	-1
675826488755617793	1
675825960688726016	0
675825946235183104	1
675825599223590912	1
675824696202498048	-1
675824064825528320	1
675822814478241793	1
675822761760059392	-1
675822701374672900	0
675821849599737857	1
675821526671867904	0
675820935715229696	1
675820534358253572	0
675820398731137024	0
675820128538198016	1
675819558448537600	0
675819372062097408	1
675819322045022208	1
675819197792780288	0
675819146446135296	-1
675819140242870272	0
675819109972467713	1
675818817847762944	1
675818614612709376	1
675818440721113088	0
675818150965985280	1
675817825039220736	1
675817611704299520	1
675817465830637568	1
675817362248105984	0
675817285177761792	1
675816962790973440	-1
675816859149684736	0
675816784574980096	1
675816634691543040	-1
675816461227659266	1
675816392063455233	-1
675816340784078848	-1
675816128615219200	0
675815679497478145	1
675815648275075072	1
675815523666501632	-1
675815006475304960	-1
675814827927797760	1
675814710009339904	1
675814029856755712	1
675813174147461121	0
675812760517632001	-1
675812577318993922	1
675811799418200066	0
675811783743897600	1
675811739007623168	1
675810803182792704	-1
675810667736252416	1
675810283386834945	0
675810202621485056	1
675809885133676546	1
675809723187265536	-1
675809269388832768	1
675808286998978560	0
675808135425093632	0
675807851026190336	1
675807645857669120	1
675807590522167296	0
675807578501341188	0
675807563989041152	1
675807524176723973	1
675807502915772417	1
675807248145346560	1
675806725832749056	-1
675806212772880384	1
675806043385913345	0
675805456774901761	1
675805304462946304	-1
675804902837342212	1
675804580484145153	1
675804335616364544	0
675804229840302082	1
675804166892204032	0
675804065977278464	0
675803934343073792	1
675803425980989440	1
675802884974518273	1
675802636042551296	1
675802622746427392	0
675802530081730560	1
675802433700818944	0
675801967533387776	1
675801704692977664	1
675801651597340672	0
675801096321765377	1
675800984652681216	1
675800984119992321	1
675800955024183296	1
675800330018263042	1
675799605322235904	1
675798978496188418	1
675798337451233280	0
675798255205249024	0
675797924803125248	1
675797294084587521	1
675797085413900288	0
675796419660406784	1
675795932315828224	1
675795238984675331	1
675795043693682688	1
675794649408237568	-1
675794639279022081	1
675793851945082882	1
675793684932239360	1
675793670050676736	0
675793496649936897	1
675793237240512518	-1
675792651971633152	1
675792634401673216	1
675792464268173314	1
675792022532464640	0
675791785743015936	0
675791618331537409	1
675791143020417024	-1
675791097939922944	0
675791055975874561	-1
675790774353678336	1
675790686982119425	1
675790318080499716	1
675790219820605440	1
675790194902044672	1
675790109430558720	-1
675789774498738176	0
675789701635272704	1
675789647574863873	1
675789065841745920	0
675788596209676288	1
675788579134681090	0
675788205665476610	1
675788004355624961	1
675787858385440768	0
675787679305453568	0
675787349087944705	1
675787236294590464	1
675787184381775872	-1
675787156271550466	1
675786915224936448	1
675786404778127361	0
675786394900537348	0
675786226478157824	0
675786128604041216	-1
675786116604157953	1
675785747576823808	1
675785627804286976	0
675785582434365441	-1
675785427564019712	0
675785391023243265	1
675784957000855552	1
675783648105340928	-1
675783370127876096	1
675783299529367552	1
675783273570770944	-1
675783133598318592	1
675782829888925696	-1
675782719004147712	1
675782685940310016	1
675782545510948865	0
675782523184656384	0
675782468079902720	1
675782311288438794	0
675782300295147520	0
675782227146506240	0
675782093599809536	-1
675781915605991424	0
675781783489781761	1
675781411513569280	1
675781277421801472	1
675781064816742400	0
675780561974091777	1
675780199712096256	1
675780104992239616	-1
675780044468428800	1
675779947781332992	0
675778915953065985	1
675778901222756353	0
675778604152811520	1
675778442563067904	0
675778299793117184	1
675777742571487232	1
675777682097967104	-1
675777330166366208	1
675777156027432962	0
675777051350167553	1
675777009264410624	1
675776901978398721	0
675776749280493568	1
675776738643832832	1
675776579553873920	0
675776395646271489	0
675776379435261952	0
675776356186243072	0
675776286065864705	0
675776199893848064	1
675776164280016898	1
675776142993973248	1
675775613404319745	1
675775421166788609	1
675775175170854912	1
675775141435936769	-1
675775004999622657	0
675774980089511936	1
675774933469822977	-1
675774927706988544	0
675774897658925057	1
675774406979919872	0
675774361953939456	0
675774085150801920	1
675774051747524608	1
675773865281343488	0
675773836961447936	-1
675773761703026688	-1
675773757626171392	1
675773415958159361	1
675773265021943813	0
675773145081622528	1
675773086457696257	1
675772953318047744	0
675772852596031488	0
675772657879670785	-1
675772642167816192	0
675772635129774081	1
675772616796434433	0
675772511188082688	1
675772471971348480	1
675772437418651648	1
675772312726016000	1
675772302756339712	1
675771888245846016	1
675771842892718080	1
675771814774185985	0
675771702266187776	1
675771693021986817	0
675771358069071872	0
675771189256671232	1
675771081869811716	0
675770973409398785	0
675770888847953920	1
675770822242508800	1
675770616755183617	-1
675770339935330304	1
675770022262784001	1
675769873163821057	1
675769849222725632	1
675769826024009728	1
675769734516862977	0
675769673393250304	0
675769523534995456	1
675769455394340864	1
675769446435164162	-1
675769301027057665	1
675769114674118656	1
675768996570996737	1
675768913909702656	1
675768898088751104	1
675768888202801152	1
675768681528352768	-1
675768656647720962	1
675768384085192705	1
675768279949058048	1
675768103578529792	1
675767892525391872	1
675767890134638592	1
675767832500707328	1
675767617848745984	1
675767584462012416	1
675767564505624576	1
675767529470631936	1
675767522910687232	1
675767433131495424	1
675767103513755648	1
675767045871509506	1
675767036635537409	0
675766471327391744	1
675766308621967360	-1
675766275625349121	1
675766222261104640	-1
675766103818260480	-1
675766092824838144	1
675765987870941185	1
675765953423101953	1
675765894568656898	0
675765874083540992	-1
675765866428940289	1
675765614313660416	1
675765545426382848	-1
675765373573140480	0
675765344854667264	1
675765257508405248	1
675765112410648576	1
675764772755906560	1
675764675724894209	1
675764671291326464	1
675764540827672576	1
675764327517978625	1
675764290536742912	0
675764126916976640	1
675764118712950785	1
675763963695644672	1
675763952748388352	0
675763936608788481	0
675763936583544832	1
675763868279414785	0
675763793134161921	1
675763773957885952	1
675763708820238337	1
675763695788642305	1
675763623332065280	1
675763593233608704	0
675763479320641537	-1
675763474060943360	1
675763470722277377	1
675763079519576064	1
675762823516061697	0
